08|생명강의 근원 (겔 47:1-2)||https://noemisuh.tistory.com/entry/life-lecture-origin
09|근원 - 시와 묵상 (1)||https://noemisuh.tistory.com/entry/origin-meditation-1|https://blog.naver.com/noemisuh/224019425473
10|근원 - 시와 묵상 (2)||https://noemisuh.tistory.com/entry/origin-meditation-2|https://blog.naver.com/noemisuh/224019427525
11|근원 - 시와 묵상 (3)||https://noemisuh.tistory.com/entry/origin-meditation-3|https://blog.naver.com/noemisuh/224019429710
12|근원 - 시와 묵상 (4)||https://noemisuh.tistory.com/entry/origin-meditation-4|https://blog.naver.com/noemisuh/224019591160
13|근원 - 예화||https://noemisuh.tistory.com/entry/origin-illustration|https://blog.naver.com/noemisuh/224019592929

15|생명강의 충만 (겔 47:3-5)||https://noemisuh.tistory.com/entry/life-lecture-fulfillment|https://blog.naver.com/noemisuh/224019642852
16|충만 - 시와 묵상 (1)||https://noemisuh.tistory.com/entry/fulfillment-meditation-1|https://blog.naver.com/noemisuh/224019736256
17|충만 - 시와 묵상 (2)||https://noemisuh.tistory.com/entry/fulfillment-meditation-2|https://blog.naver.com/noemisuh/224021073447
18|충만 - 시와 묵상 (3)||https://noemisuh.tistory.com/entry/fulfillment-meditation-3|https://blog.naver.com/noemisuh/224021076359
19|충만 - 시와 묵상 (4)||https://noemisuh.tistory.com/entry/fulfillment-meditation-4|https://blog.naver.com/noemisuh/224021080350
20|충만 - 예화||https://noemisuh.tistory.com/entry/fulfillment-illustration|https://blog.naver.com/noemisuh/224021083881

22|생명강의 버림 (겔 47:1-5)||https://noemisuh.tistory.com/entry/life-lecture-abandon|https://blog.naver.com/noemisuh/224021089712
23|버림 - 시와 묵상 (1)||https://noemisuh.tistory.com/entry/abandon-meditation-1|https://blog.naver.com/noemisuh/224021135567
24|버림 - 시와 묵상 (2)||https://noemisuh.tistory.com/entry/abandon-meditation-2|https://blog.naver.com/noemisuh/224021145431
25|버림 - 시와 묵상 (3)||https://noemisuh.tistory.com/entry/abandon-meditation-3|https://blog.naver.com/noemisuh/224021152704
26|버림 - 시와 묵상 (4)||https://noemisuh.tistory.com/entry/abandon-meditation-4|https://blog.naver.com/noemisuh/224021157068
27|버림 - 예화 및 간증||https://noemisuh.tistory.com/entry/abandon-testimon|https://blog.naver.com/noemisuh/224021165340

29|생명강의 살림 (겔 47:8-9)||https://noemisuh.tistory.com/entry/life-lecture-revival|https://blog.naver.com/noemisuh/224021172088
30|살림 - 시와 묵상 (1)||https://noemisuh.tistory.com/entry/revival-meditation-1|https://blog.naver.com/noemisuh/224021177904
